stratum,sentence,label,pred_full,score_full,epi_pred_label,error_category,note
high_conf_FP,"Flag of Turkey December 23 – An Ankara-Samsun regular route bus head-on collided with a fuel truck and burning both vehicle at outskirt of Samsun, northern Turkey, killing eleven and injuring ten.",0,1,0.9955049,Evidence,,
high_conf_FP,"She is perhaps best known for her second-wave feminism work, though she says, ""My politics are much broader than that."" Craft has organized against oppressive politics and culture since the early 1970's.",0,1,0.9874014,Background,,
high_conf_FP,"On most versions of the recording, the singers were not able to recite the song perfectly from start to finish; when the singers made a mistake, the record was over.",0,1,0.9817255,Evidence,,
high_conf_FP,"The Hondamatic was later used in Honda's 400, 450 and 750 cc motorcycles, including the CB750A.",0,1,0.97707784,Background,,
high_conf_FP,"Burnham-on-Sea is notable for its beach and mudflats, the danger they pose to individuals and shipping, and the efforts locals have gone to defend their town and to prevent loss of life.",0,1,0.96596044,Evidence,,
high_conf_FP,Despite this over 95% of the pupils conformed to the guidelines.,0,1,0.9631706,Claim,,
high_conf_FP,"Adventure Con 2007 made national news for a Star Wars-themed wedding, which on June 2 was featured on nearly every local news broadcast in the nation that evening.",0,1,0.95956826,Background,,
high_conf_FP,"The flowchart model differentiates Authorware from other authoring tools, such as Adobe Flash and Adobe Director, which rely on a visual stage, time-line and script structure.",0,1,0.95860505,Evidence,,
high_conf_FP,They are also currently the best-selling band of the 21st century.,0,1,0.9571822,Evidence,,
high_conf_FP,"Another term sometimes used to refer to Jews is Hebrews, which was a term first used to refer to the Jews (and probably other peoples as well) by the ancient Egyptians.",0,1,0.95674455,Background,,
high_conf_FP,"The DVD for Season 1 of Instant Star is scheduled for release on May 22, 2007.",0,1,0.9434636,Evidence,,
high_conf_FP,"The name was also given by expatriates to settlements in Quebec, Nova Scotia, Montana, Florida, Illinois, and California.",0,1,0.9431391,Background,,
high_conf_FP,It enjoys 70% market share in India in the glucose biscuit category followed by Britannia Tiger (17-18%) and ITC's sunfeast (8-9%).,0,1,0.93987375,Evidence,,
high_conf_FP,"In 1990, Bolalar presented their first album, after which they have become, perhaps, the number one most popular boys band in Uzbekistan and in the neighboring countries.",0,1,0.93534833,Evidence,,
high_conf_FP,"His grandfather Arthur Leroy Boyd was first violinist in the Negro String Quartet* that performed with singer Roland Hayes at New York’s Carnegie Hall on November 27, 1925.** Boyd had three siblings.",0,1,0.9338563,Background,,
high_conf_FP,"This provides a better output resistance per unit area because a resistor takes up much more area on a silicon chip than a MOSFET for the same resistance, but the tempreature will have a much greater effect on the output resistance of this configuration.",0,1,0.93215954,Background,,
high_conf_FP,"In 1997, the southern terminus was truncated to the county line itself.",0,1,0.9306132,Background,,
high_conf_FP,"He changed his surname at the age of 16, when his mother remarried to a man called Richard Johnson, so that ""the world would know he was his mother's son"".",0,1,0.92787695,Background,,
high_conf_FP,"Patton, having no desire to involve Eisenhower (who was already well acquainted with Patton's headstrong tendencies and would likely have cancelled the operation), flew to the XII Corps command post at Undenheim, waited until Eddy left for dinner, and personally delivered the operation order to BG Hoge of US 4th AD.",0,1,0.92658055,Opinion,,
high_conf_FP,Jayma Suzette Mays (born September 1 1979) is an American film and television actress.,0,1,0.92607605,Background,,
high_conf_FN,"Michael Barker, Regulating revolutions in Eastern Europe: Polyarchy and the National Endowment for Democracy, 1 November 2006.",1,0,0.00040683948,Background,,
high_conf_FN,"Betty Krawczyk ran unsuccessfully in the riding of Vancouver East, receiving 1.02% of the votes (423 votes).",1,0,0.00067593914,Background,,
high_conf_FN,"God, Chance and Purpose, Cambridge University Press 2008 ISBN 978-0-521-70708-4",1,0,0.00076993246,Background,,
high_conf_FN,He was drafted in the second round (50th overall) of the 2005 Major League Baseball Draft by the Kansas City Royals.,1,0,0.0018699488,Background,,
high_conf_FN,"This article is devoted to a number of specific historical meanings the word took, the most important of which follows first.",1,0,0.0019719996,Evidence,,
